Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60611,01/14/2021,103,4822,66,3206,0.096,37,1616,0.049,33224,POINT (-87.620291 41.894734),60611-20210114
60626,01/01/2021,0,747,0,747,0.015,0,0,0,50544,POINT (-87.669834 42.009469),60626-20210101
60611,12/21/2020,424,1340,424,1340,0.04,0,0,0,33224,POINT (-87.620291 41.894734),60611-20201221
60611,01/22/2021,493,6506,467,4475,0.135,26,2031,0.061,33224,POINT (-87.620291 41.894734),60611-20210122
60616,01/14/2021,84,2340,56,1719,0.032,28,621,0.011,54197,POINT (-87.629531 41.844869),60616-20210114
60620,01/19/2021,67,1004,51,841,0.012,16,163,0.002,67711,POINT (-87.651656 41.740873),60620-20210119
60622,01/08/2021,343,3200,67,2688,0.05,276,512,0.01,53294,POINT (-87.681818 41.902762),60622-20210108
60647,12/24/2020,36,970,36,970,0.011,0,0,0,87633,POINT (-87.701101 41.921058),60647-20201224
60641,01/13/2021,152,1702,94,1324,0.019,58,378,0.005,69880,POINT (-87.746791 41.946682),60641-20210113
60631,01/04/2021,59,672,58,671,0.023,1,1,0,29529,POINT (-87.813371 41.995019),60631-20210104
60624,01/07/2021,26,212,15,200,0.006,11,12,0,34892,POINT (-87.722735 41.879417),60624-20210107
60602,01/09/2021,4,77,0,63,0.055,4,14,0.012,1145,POINT (-87.628309 41.883136),60602-20210109
60661,12/25/2020,0,351,0,351,0.034,0,0,0,10354,POINT (-87.644283 41.882786),60661-20201225
60643,01/07/2021,74,775,27,701,0.014,47,74,0.002,48887,POINT (-87.662381 41.700445),60643-20210107
60605,12/22/2020,218,1033,218,1033,0.036,0,0,0,29060,POINT (-87.623449 41.867824),60605-20201222
60607,12/16/2020,4,5,4,5,0,0,0,0,29293,POINT (-87.652727 41.876104),60607-20201216
60606,02/03/2021,11,537,11,385,0.117,0,152,0.046,3287,POINT (-87.63676 41.882634),60606-20210203
60610,12/18/2020,160,225,160,225,0.006,0,0,0,40548,POINT (-87.63581 41.90455),60610-20201218
60637,12/22/2020,79,256,79,256,0.005,0,0,0,47300,POINT (-87.604053 41.780991),60637-20201222
60613,12/26/2020,19,823,19,823,0.016,0,0,0,50761,POINT (-87.661343 41.953742),60613-20201226
60652,12/16/2020,0,1,0,1,0,0,0,0,43447,POINT (-87.714238 41.745398),60652-20201216
60639,01/02/2021,22,400,22,400,0.005,0,0,0,88204,POINT (-87.75531 41.920609),60639-20210102
60707,01/25/2021,12,609,9,500,0.012,3,109,0.003,43093,POINT (-87.808283 41.921777),60707-20210125
60607,02/03/2021,248,5921,169,3993,0.136,79,1928,0.066,29293,POINT (-87.652727 41.876104),60607-20210203
60633,01/04/2021,5,59,5,59,0.005,0,0,0,12689,POINT (-87.556037 41.653147),60633-20210104
60643,01/27/2021,223,2966,202,2475,0.051,21,491,0.01,48887,POINT (-87.662381 41.700445),60643-20210127
60649,01/07/2021,40,438,23,416,0.009,17,22,0,46633,POINT (-87.571522 41.762202),60649-20210107
60617,01/09/2021,32,686,19,610,0.007,13,76,0.001,83553,POINT (-87.556897 41.721257),60617-20210109
60619,01/03/2021,6,280,6,280,0.005,0,0,0,61207,POINT (-87.60569 41.744737),60619-20210103
60638,12/30/2020,80,510,80,510,0.009,0,0,0,58669,POINT (-87.771902 41.787032),60638-20201230
